Gene	Fold Change	Pvalue	Padj (FDR)	pct.1	pct.2
Spp1	57.03	0.00E+00	0.00E+00	0.97	0.21
Gpnmb	7.60	0.00E+00	0.00E+00	0.56	0.01
Igf1	6.73	0.00E+00	0.00E+00	0.87	0.08
Lgals3	5.24	0.00E+00	0.00E+00	0.48	0.03
Fabp5	4.04	0.00E+00	0.00E+00	0.73	0.09
Cd9	3.90	0.00E+00	0.00E+00	1	0.94
Lpl	3.80	0.00E+00	0.00E+00	0.82	0.21
Ctsl	3.73	0.00E+00	0.00E+00	1	0.94
Lgals1	3.72	0.00E+00	0.00E+00	0.65	0.12
Apoe	3.51	0.00E+00	0.00E+00	1	0.69
Anxa5	3.40	0.00E+00	0.00E+00	0.82	0.21
Gm10116	3.38	0.00E+00	0.00E+00	1	0.67
Syngr1	3.37	0.00E+00	0.00E+00	0.98	0.62
Gpx3	3.21	0.00E+00	0.00E+00	0.83	0.24
Cd63	3.19	0.00E+00	0.00E+00	1	0.79
Pld3	3.17	0.00E+00	0.00E+00	0.87	0.31
Gm1673	3.14	0.00E+00	0.00E+00	0.62	0.07
Ctsb	3.12	0.00E+00	0.00E+00	1	0.99
Ftl1	2.93	0.00E+00	0.00E+00	1	0.99
Plin2	2.88	0.00E+00	0.00E+00	0.86	0.27
Lyz2	2.85	0.00E+00	0.00E+00	0.98	0.66
Ccl9	2.85	0.00E+00	0.00E+00	0.79	0.38
Anxa2	2.72	0.00E+00	0.00E+00	0.51	0.05
Lilrb4a	2.69	0.00E+00	0.00E+00	0.38	0.03
Csf1	2.66	0.00E+00	0.00E+00	0.48	0.05
Pkm	2.60	0.00E+00	0.00E+00	0.95	0.54
Ccl6	2.59	0.00E+00	0.00E+00	0.71	0.37
Mif	2.48	0.00E+00	0.00E+00	0.88	0.37
S100a1	2.46	0.00E+00	0.00E+00	0.47	0.07
Ldha	2.43	0.00E+00	0.00E+00	0.9	0.51
Folr2	2.40	0.00E+00	0.00E+00	0.36	0.04
Cstb	2.36	0.00E+00	0.00E+00	0.8	0.35
Fabp3	2.33	0.00E+00	0.00E+00	0.42	0.03
Gng12	2.30	0.00E+00	0.00E+00	0.63	0.17
Lag3	2.25	0.00E+00	0.00E+00	0.86	0.51
Sepw1	2.21	0.00E+00	0.00E+00	0.74	0.24
Apoc1	2.20	0.00E+00	0.00E+00	0.34	0.06
Tpi1	2.19	0.00E+00	0.00E+00	0.77	0.32
Plaur	2.19	0.00E+00	0.00E+00	0.36	0.04
Ifitm2	2.15	0.00E+00	0.00E+00	0.51	0.09
Ybx1	2.15	0.00E+00	0.00E+00	0.96	0.66
Npl	2.13	0.00E+00	0.00E+00	0.85	0.36
Hpse	2.09	0.00E+00	0.00E+00	0.33	0.02
