gene	avg(log_norm_counts)	avg(log_norm_counts_3_P7_clusters)	avg_logFC	p_val	p_val_adj	cluster
Spp1	1.732060881	1.022200715	2.656986467	9.21E-41	1.07E-36	P7-C1
Gpnmb	0.736198659	0.423869086	1.940629169	1.39E-33	1.62E-29	P7-C1
Plin2	1.63702722	1.139793182	1.254877033	9.20E-50	1.07E-45	P7-C1
Anxa5	1.162919026	0.776890521	1.106367907	7.06E-51	8.21E-47	P7-C1
Igf1	0.923064432	0.588758143	1.035902327	7.20E-52	8.38E-48	P7-C1
Pld3	2.095933969	1.549639982	1.003459207	2.56E-40	2.98E-36	P7-C1
Lyz2	2.435823157	1.908867813	0.997769397	5.79E-42	6.74E-38	P7-C1
Clec7a	0.54586852	0.325392737	0.925239184	4.70E-27	5.47E-23	P7-C1
Cd9	2.455899484	1.955411459	0.885583201	5.72E-37	6.66E-33	P7-C1
Hpse	0.482553096	0.295555251	0.861838697	1.96E-26	2.28E-22	P7-C1
Ctsb	4.816998929	4.422795871	0.845496048	1.95E-58	2.27E-54	P7-C1
Aplp2	1.024593291	0.735597516	0.836220904	2.83E-30	3.30E-26	P7-C1
Gpx3	1.24604353	0.925408328	0.828442535	2.70E-31	3.15E-27	P7-C1
Lpl	2.014825967	1.506730156	0.820918786	2.13E-28	2.48E-24	P7-C1
Plek	1.53990975	1.158731958	0.813513119	4.17E-31	4.85E-27	P7-C1
Csf1	0.604400342	0.389305048	0.809251333	4.45E-26	5.18E-22	P7-C1
Ctsd	4.844141009	4.409842897	0.808544211	5.78E-51	6.72E-47	P7-C1
Cd63	2.148930081	1.720549222	0.789371938	1.40E-40	1.62E-36	P7-C1
Lgals3	0.285129217	0.178331506	0.764257288	3.69E-20	4.30E-16	P7-C1
Apoe	4.910818833	4.527672782	0.761011597	1.22E-35	1.42E-31	P7-C1
Soat1	0.989447074	0.703576474	0.745540058	1.60E-27	1.87E-23	P7-C1
Ctsl	3.098274345	2.775921756	0.709169735	6.15E-28	7.16E-24	P7-C1
Anxa2	0.539879535	0.348275016	0.692745747	2.90E-22	3.38E-18	P7-C1
Lag3	1.249554996	0.969988091	0.681680948	1.62E-18	1.88E-14	P7-C1
Sepp1	3.946784982	3.688663233	0.680517263	8.10E-29	9.42E-25	P7-C1
Tpi1	1.189642315	0.89485018	0.678648601	4.73E-29	5.51E-25	P7-C1
Atp1a3	0.586987056	0.387837336	0.667168923	4.22E-23	4.91E-19	P7-C1
Hif1a	1.335685056	1.012738161	0.662215949	7.41E-24	8.62E-20	P7-C1
Syngr1	1.491489356	1.200925849	0.654826441	1.16E-29	1.34E-25	P7-C1
Slc23a2	0.844084391	0.620419148	0.645588468	3.14E-15	3.66E-11	P7-C1
Slc16a3	0.503501547	0.351682885	0.628277799	2.52E-18	2.94E-14	P7-C1
Ccl9	0.836244985	0.632678776	0.626853014	6.36E-16	7.41E-12	P7-C1
Sgpl1	1.631711661	1.239789166	0.614126612	1.79E-21	2.09E-17	P7-C1
C3ar1	1.843896394	1.438632464	0.611881953	7.48E-23	8.70E-19	P7-C1
Abca1	1.445031298	1.135149528	0.608600601	4.35E-24	5.06E-20	P7-C1
Stab1	1.747011098	1.449671032	0.593956517	2.33E-19	2.71E-15	P7-C1
Dpp7	0.589745153	0.415134587	0.580918107	8.38E-22	9.75E-18	P7-C1
Ftl1	3.708794995	3.41086905	0.580674433	2.37E-44	2.76E-40	P7-C1
Ctsa	3.590145091	3.282131294	0.579852621	1.97E-35	2.29E-31	P7-C1
Aldoa	2.126836373	1.75458437	0.568122246	1.36E-22	1.58E-18	P7-C1
Pkm2	2.410213688	2.064334724	0.559925053	1.04E-20	1.22E-16	P7-C1
Lipa	1.342536619	1.005550435	0.557211795	5.42E-27	6.31E-23	P7-C1
Slc37a2	0.906918284	0.671443219	0.546439589	4.10E-24	4.77E-20	P7-C1
Ldha	2.009732964	1.665051288	0.543227384	2.96E-17	3.44E-13	P7-C1
Creg1	1.494528423	1.205819451	0.530105639	7.72E-21	8.99E-17	P7-C1
Cndp2	1.13372245	0.858540892	0.527307665	2.08E-24	2.42E-20	P7-C1
Rftn1	0.333012999	0.217550193	0.52472293	5.94E-17	6.91E-13	P7-C1
Lilrb4	0.278025838	0.172607368	0.524414527	1.80E-17	2.10E-13	P7-C1
Pmp22	0.92832734	0.685197733	0.523987778	1.54E-21	1.79E-17	P7-C1
Ank	0.338801483	0.224167322	0.522816194	1.53E-15	1.78E-11	P7-C1
Timp2	1.72634908	1.400439622	0.517545863	4.14E-22	4.82E-18	P7-C1
Myo5a	0.474302838	0.335291613	0.512200837	1.19E-19	1.38E-15	P7-C1
Ccl3	0.746346757	0.537215037	0.509904068	9.68E-23	1.13E-18	P7-C1
Psat1	0.964477875	0.682716857	0.505445111	3.24E-20	3.77E-16	P7-C1
P2rx4	0.600625047	0.439227908	0.500067009	9.64E-21	1.12E-16	P7-C1
Fabp5	0.309719954	0.193830375	0.498427032	5.81E-26	6.76E-22	P7-C1
Ctsz	3.586058165	3.26714868	0.491757846	1.76E-31	2.05E-27	P7-C1
Plaur	0.327133452	0.201935203	0.488711591	3.58E-21	4.16E-17	P7-C1
Ccl6	0.668691643	0.513894012	0.485709115	7.11E-21	8.27E-17	P7-C1
Tmem106a	0.652663673	0.481439739	0.484539899	2.05E-19	2.39E-15	P7-C1
Hexa	2.872406583	2.585212064	0.482162857	1.17E-22	1.36E-18	P7-C1
Cd83	1.042189284	0.770154999	0.479983242	2.99E-15	3.48E-11	P7-C1
Grn	3.74169568	3.439340231	0.477904151	9.73E-35	1.13E-30	P7-C1
Nceh1	0.336089748	0.208287101	0.475813382	9.78E-23	1.14E-18	P7-C1
Adi1	0.809730586	0.616937788	0.47554197	3.72E-18	4.33E-14	P7-C1
Atp6v1b2	1.487646842	1.168520747	0.474761145	2.79E-17	3.24E-13	P7-C1
Sat1	1.705972594	1.425606892	0.471239962	1.05E-19	1.23E-15	P7-C1
Scpep1	1.456681551	1.143510336	0.466033909	5.20E-18	6.05E-14	P7-C1
Folr2	0.330311501	0.214002003	0.464645731	1.15E-24	1.33E-20	P7-C1
Aldh2	0.675768768	0.483934361	0.463299092	2.42E-22	2.81E-18	P7-C1
Atf3	0.28322621	0.182806217	0.460780594	1.11E-12	1.29E-08	P7-C1
Cd68	2.87008962	2.579626396	0.455596885	4.71E-25	5.48E-21	P7-C1
Uap1l1	0.817516069	0.613391105	0.453804736	1.58E-20	1.83E-16	P7-C1
